Genes	module
Rpl7	20
Rps6ka1	20
Rrbp1	20
Ruvbl1	20
Scd1	20
Sdhd	20
Sec11a	20
Sec13	20
Slc14a1	20
Smurf2	20
Spata13	20
Stat1	20
Tecr	20
Thrsp	20
Tkt	20
Tmem161b	20
Tmem176a	20
Tmem230	20
Tnfsf10	20
Tnk2	20
Tspan3	20
Tspan32	20
Ttc4	20
Ubr1	20
Wdr11	20
Yy1	20
Yy2	20
Zbtb14	20
Zdhhc15	20
Zfp251	20
Zfp579	20
Zfp622	20
1190002N15Rik	21
2900008C10Rik	21
4933412E12Rik	21
9330133O14Rik	21
Acy1	21
Adamts1	21
Ap3m1	21
Arap3	21
Arpc1a	21
Atp9b	21
Brd4	21
Cacna1i	21
Cbr2	21
Ccdc166	21
Ccsap	21
Cd52	21
Col1a2	21
Ctr9	21
Cul4b	21
Cwf19l2	21
D19Bwg1357e	21
D3Ertd254e	21
Dlst	21
Exosc4	21
Fadd	21
Fam175b	21
Flot2	21
Gfer	21
Gm15706	21
Gm5176	21
Gmppb	21
Hadha	21
Hectd3	21
Hsd17b10	21
Hypk	21
Isoc2a	21
Lsm4	21
Map3k4	21
Mmab	21
Morc2a	21
Mrpl28	21
Mta1	21
N4bp3	21
Naa35	21
Nasp	21
Ndufb5	21
Nelfe	21
Nktr	21
Nthl1	21
Nudt1	21
Nudt22	21
Nup98	21
Ola1	21
Ormdl2	21
Papss2	21
Pdcd11	21
Pdpk1	21
Pigv	21
Pinx1	21
Pld2	21
Pnkp	21
Ppp2r5a	21
Ppt2	21
Prmt7	21
Prps1	21
Rab13	21
Ranbp6	21
Rarres2	21
Rel	21
Retnla	21
Rrp36	21
Ryr2	21
Sepp1	21
Setd6	21
St6galnac2	21
Tmed6	21
Tmem19	21
Tmem57	21
Tmem71	21
Trip6	21
Urm1	21
Usp21	21
Vti1b	21
Wdr47	21
Wnt4	21
Zbed4	21
Zfp518a	21
Zfp7	21
Zfp71-rs1	21
Zfp831	21
Zmat2	21
Znhit6	21
1110018G07Rik	22
2310057M21Rik	22
Apeh	22
Arhgap25	22
Arhgef18	22
Arhgef6	22
Btla	22
Casp1	22
Cd22	22
Cd48	22
Cd79a	22
Cd79b	22
Cep170	22
Chst3	22
Cln5	22
Cog1	22
Col4a3bp	22
Crlf2	22
Crlf3	22
Ctsh	22
Cxcr5	22
D8Ertd82e	22
Faim3	22
Fcer2a	22
Fcgr2b	22
Gbp8	22
Gdi1	22
Gnl2	22
Hhex	22
Hvcn1	22
Il4ra	22
Isg20l2	22
Klhl6	22
Lrch3	22
Lyn	22
Mar1	22
Mars2	22
Mdn1	22
Mrpl18	22
Ms4a1	22
Mtm1	22
Nbr1	22
Nfkb2	22
Nup35	22
Nxpe2	22
